id,date,x_s,UTM_E,UTM_N
usa_NC_0034_0102,08-Dec-2019,10288.383334161,456532.746070115,3926592.71327079
usa_NC_0034_0101,08-Dec-2019,10270.9466748766,456524.911581025,3926542.93533283
usa_NC_0034_0100,08-Dec-2019,10250.302021477,456513.710484517,3926493.63377335
usa_NC_0034_0099,08-Dec-2019,10228.410778085,456501.204132366,3926444.50246775
usa_NC_0034_0098,08-Dec-2019,10204.9535976372,456487.058657557,3926395.58248483
usa_NC_0034_0097,08-Dec-2019,10184.4164917385,456475.980451423,3926346.21478404
usa_NC_0034_0096,08-Dec-2019,10164.2344582567,456465.238129535,3926296.978237
usa_NC_0034_0095,08-Dec-2019,10149.034330238,456459.591230122,3926247.66649149
usa_NC_0034_0094,08-Dec-2019,10133.0103104419,456453.063393149,3926198.55871295
usa_NC_0034_0093,08-Dec-2019,10121.0776425988,456450.828436736,3926148.84718642
usa_NC_0034_0092,08-Dec-2019,10109.0065163024,456448.450363914,3926099.1452717
usa_NC_0034_0091,08-Dec-2019,10092.4017025205,456441.317741293,3926050.10009575
usa_NC_0034_0090,08-Dec-2019,10075.6960662756,456434.080422402,3926001.06433095
