id,date,days_from_target,x_s,UTM_E,UTM_N
usa_NC_0045_0048,30-Dec-2023 15:41:22,1.34627314814815,2037.64950431967,432600.104376902,4004254.55734905
usa_NC_0045_0047,30-Dec-2023 15:41:22,1.34627314814815,2044.06246928715,432616.13820337,4004207.04542708
usa_NC_0045_0046,30-Dec-2023 15:41:22,1.34627314814815,2049.02332244315,432630.75499096,4004159.21432285
usa_NC_0045_0045,30-Dec-2023 15:41:22,1.34627314814815,2052.84123129864,432644.278994287,4004111.01912226
usa_NC_0045_0044,30-Dec-2023 15:41:22,1.34627314814815,2056.71557870537,432657.856951487,4004062.84193965
usa_NC_0045_0043,30-Dec-2023 15:41:22,1.34627314814815,2061.8697851167,432672.658594387,4004015.07249166
usa_NC_0045_0042,30-Dec-2023 15:41:22,1.34627314814815,2066.48124854009,432686.941313358,4003967.13014811
usa_NC_0045_0041,30-Dec-2023 15:41:22,1.34627314814815,2071.74026562949,432701.843159734,4003919.39412569
usa_NC_0045_0040,30-Dec-2023 15:41:22,1.34627314814815,2076.72386414039,432716.481673925,4003871.57037
usa_NC_0045_0039,30-Dec-2023 15:41:22,1.34627314814815,2081.2389335253,432730.672216588,4003823.59738263
usa_NC_0045_0038,30-Dec-2023 15:41:22,1.34627314814815,2085.74159341985,432744.85088838,4003775.62047209
usa_NC_0045_0037,30-Dec-2023 15:41:22,1.34627314814815,2090.98945940714,432759.742064506,4003727.88094007
usa_NC_0045_0036,30-Dec-2023 15:41:22,1.34627314814815,2095.8641972355,432774.27648187,4003680.02257417
usa_NC_0045_0035,30-Dec-2023 15:41:22,1.34627314814815,2101.10401829297,432789.159958698,4003632.28051656
usa_NC_0045_0034,30-Dec-2023 15:41:22,1.34627314814815,2105.91142662451,432803.629995871,4003584.40073001
usa_NC_0045_0033,30-Dec-2023 15:41:22,1.34627314814815,2111.75181195929,432819.08768554,4003536.84996145
usa_NC_0045_0032,30-Dec-2023 15:41:22,1.34627314814815,2116.70761134246,432833.702493641,4003489.00297237
usa_NC_0045_0031,30-Dec-2023 15:41:22,1.34627314814815,2121.6265010378,432848.28683443,4003441.12009159
usa_NC_0045_0030,30-Dec-2023 15:41:22,1.34627314814815,2125.98714472103,432862.3375772,4003393.05863316
usa_NC_0045_0029,30-Dec-2023 15:41:22,1.34627314814815,2130.84228107712,432876.861195496,4003345.15427747
usa_NC_0045_0028,30-Dec-2023 15:41:22,1.34627314814815,2136.40234394964,432892.058797981,4003297.47451042
usa_NC_0045_0027,30-Dec-2023 15:41:22,1.34627314814815,2142.25813943395,432907.539143256,4003249.88900748
usa_NC_0045_0026,30-Dec-2023 15:41:22,1.34627314814815,2148.00446052509,432922.914873153,4003202.26835741
usa_NC_0045_0025,30-Dec-2023 15:41:22,1.34627314814815,2153.39260426396,432937.948280812,4003154.53292628
usa_NC_0045_0024,30-Dec-2023 15:41:22,1.34627314814815,2157.91826574314,432952.157393354,4003106.52106302
usa_NC_0045_0023,30-Dec-2023 15:41:22,1.34627314814815,2162.63180638683,432966.546205133,4003058.56872294
usa_NC_0045_0022,30-Dec-2023 15:41:22,1.34627314814815,2166.82855703192,432980.441228039,4003010.4501482
usa_NC_0045_0021,30-Dec-2023 15:41:22,1.34627314814815,2171.40941959213,432994.703496423,4002962.45398138
usa_NC_0045_0020,30-Dec-2023 15:41:22,1.34627314814815,2175.44507976597,433008.444874832,4002914.28220677
usa_NC_0045_0019,30-Dec-2023 15:41:22,1.34627314814815,2179.5695000129,433022.271242673,4002866.1380833
usa_NC_0045_0018,30-Dec-2023 15:41:22,1.34627314814815,2183.73991313036,433036.141722248,4002818.00792403
usa_NC_0045_0017,30-Dec-2023 15:41:22,1.34627314814815,2188.98389933131,433051.038183531,4002770.22214336
usa_NC_0045_0016,30-Dec-2023 15:41:22,1.34627314814815,2195.47193295826,433067.123385189,4002722.83621925
usa_NC_0045_0015,30-Dec-2023 15:41:22,1.34627314814815,2202.63734007016,433083.855757462,4002675.66845729
usa_NC_0045_0014,30-Dec-2023 15:41:22,1.34627314814815,2209.64670184562,433100.439213447,4002628.44958063
usa_NC_0045_0013,30-Dec-2023 15:41:22,1.34627314814815,2217.40511959559,433117.738228859,4002581.47244079
usa_NC_0045_0012,30-Dec-2023 15:41:22,1.34627314814815,2223.44879281879,433133.398983575,4002533.94289963
usa_NC_0045_0011,30-Dec-2023 15:41:22,1.34627314814815,2227.99556017703,433147.629784111,4002485.93021136
usa_NC_0045_0010,30-Dec-2023 15:41:22,1.34627314814815,2231.19317710095,433160.571957533,4002437.48116404
usa_NC_0045_0009,30-Dec-2023 15:41:22,1.34627314814815,2235.21865896503,433174.305151295,4002389.29840541
usa_NC_0045_0008,30-Dec-2023 15:41:22,1.34627314814815,2239.74095140079,433188.513055371,4002341.27539651
