id,date,x_s,UTM_E,UTM_N
usa_NC_0049_0067,01-Jan-1857,59.2186407828171,424619.179451061,4034097.54550636
usa_NC_0049_0066,01-Jan-1857,61.7475828690676,424631.365431005,4034049.46827992
usa_NC_0049_0065,01-Jan-1857,65.326294821346,424644.568391229,4034001.65900344
usa_NC_0049_0064,01-Jan-1857,70.8507220060246,424659.657859433,4033954.33852084
usa_NC_0049_0063,01-Jan-1857,76.394042857683,424674.767089709,4033907.01556164
usa_NC_0049_0062,01-Jan-1857,81.023612982724,424688.991388175,4033859.45798021
usa_NC_0049_0061,01-Jan-1857,137.527938471825,424753.554160692,4033824.72073543
usa_NC_0049_0060,01-Jan-1857,138.707730087065,424764.447543546,4033776.227017
usa_NC_0049_0059,01-Jan-1857,85.0509345579926,424722.094383576,4033714.35088395
usa_NC_0049_0058,01-Jan-1857,88.8290187263178,424735.492176696,4033666.58404875
usa_NC_0049_0057,01-Jan-1857,147.803653660945,424802.51904561,4033632.12229558
usa_NC_0049_0056,01-Jan-1857,145.96372239075,424810.474349727,4033582.9212441
usa_NC_0049_0055,01-Jan-1857,93.0278316425279,424768.750631413,4033521.57414917
usa_NC_0049_0054,01-Jan-1857,148.68682341248,424832.602702614,4033486.07952073
usa_NC_0049_0053,01-Jan-1857,95.4459117271763,424790.546713786,4033424.83861573
usa_NC_0049_0052,01-Jan-1857,154.700375702627,424857.928630707,4033390.02812354
usa_NC_0049_0051,01-Jan-1857,99.0160243763635,424813.459397381,4033328.39436992
usa_NC_0049_0050,01-Jan-1857,101.34961885279,424825.448593864,4033280.30500236
usa_NC_0049_0049,01-Jan-1857,104.307821799401,424838.045673421,4033232.36113036
usa_NC_0049_0048,01-Jan-1857,162.195361318766,424904.163325325,4033196.90165578
usa_NC_0049_0047,01-Jan-1857,161.549800997512,424913.264524836,4033148.06135876
usa_NC_0049_0046,01-Jan-1857,161.004629426553,424922.461255999,4033099.2553004
usa_NC_0049_0045,01-Jan-1857,160.059069895181,424931.265216382,4033050.37151058
usa_NC_0049_0044,01-Jan-1857,159.199629524405,424940.150663456,4033001.51942354
usa_NC_0049_0043,01-Jan-1857,158.381100274965,424949.073746001,4032952.68777661
usa_NC_0049_0042,01-Jan-1857,157.777922116442,424958.206556214,4032903.90557706
usa_NC_0049_0041,01-Jan-1857,157.154434254421,424967.319607951,4032855.11860964
usa_NC_0049_0040,01-Jan-1857,156.571498539861,424976.472334824,4032806.34004312
usa_NC_0049_0039,01-Jan-1857,155.891789139983,424985.530591121,4032757.54037672
usa_NC_0049_0038,01-Jan-1857,100.549809203135,424941.160860425,4032697.15590152
usa_NC_0049_0037,01-Jan-1857,101.821446358667,424952.110308045,4032648.85033017
usa_NC_0049_0036,01-Jan-1857,104.722804864126,424964.654905852,4032600.87900175
usa_NC_0049_0035,01-Jan-1857,107.640778210625,424977.217978914,4032552.9000069
usa_NC_0049_0034,01-Jan-1857,110.609002478269,424989.832464147,4032504.92017229
usa_NC_0049_0033,01-Jan-1857,114.163198556185,425003.022851251,4032457.04870433
usa_NC_0049_0032,01-Jan-1857,118.186357114221,425016.675096546,4032409.25918553
usa_NC_0049_0031,01-Jan-1857,122.234604803434,425030.354827405,4032361.46015627
usa_NC_0049_0030,01-Jan-1857,182.79045212566,425099.407606458,4032324.92940606
usa_NC_0049_0029,01-Jan-1857,183.071585783735,425109.41804882,4032276.26812316
usa_NC_0049_0028,01-Jan-1857,183.440858360784,425119.515524512,4032227.62109302
usa_NC_0049_0027,01-Jan-1857,181.769161033404,425127.611909822,4032178.57256821
usa_NC_0049_0026,01-Jan-1857,180.079434159245,425135.690024791,4032129.52346468
usa_NC_0049_0025,01-Jan-1857,178.402792698397,425143.780393376,4032080.47981837
usa_NC_0049_0024,01-Jan-1857,176.736698897921,425151.880531411,4032031.44111004
usa_NC_0049_0023,01-Jan-1857,174.966638424105,425159.877997034,4031982.38563884
usa_NC_0049_0022,01-Jan-1857,172.885122464869,425167.569188241,4031933.2734259
usa_NC_0049_0021,01-Jan-1857,170.443733188506,425174.906029283,4031884.09796909
usa_NC_0049_0020,01-Jan-1857,167.958325378092,425182.197411448,4031834.92536535
usa_NC_0049_0019,01-Jan-1857,165.492635758937,425189.507830011,4031785.75812436
usa_NC_0049_0018,01-Jan-1857,163.785059786474,425197.588171145,4031736.60679081
usa_NC_0049_0017,01-Jan-1857,162.956503164135,425206.571921289,4031687.42036776
usa_NC_0049_0016,01-Jan-1857,161.56460942084,425215.001670845,4031638.13148765
usa_NC_0049_0015,01-Jan-1857,159.636490549302,425222.904083811,4031588.74507473
usa_NC_0049_0014,01-Jan-1857,157.657355446529,425230.756328192,4031539.34937259
usa_NC_0049_0013,01-Jan-1857,155.753860093624,425238.682958438,4031489.96742875
usa_NC_0049_0012,01-Jan-1857,153.73084863203,425246.492051893,4031440.56375539
usa_NC_0049_0011,01-Jan-1857,151.786314532453,425254.378323718,4031391.1743468
usa_NC_0049_0010,01-Jan-1857,149.808142886675,425262.231515619,4031341.77881974
usa_NC_0049_0009,01-Jan-1857,147.865229812605,425270.119379663,4031292.38971568
usa_NC_0049_0008,01-Jan-1857,145.893691372536,425277.979094772,4031242.99539534
usa_NC_0049_0007,01-Jan-1857,144.612877691794,425286.346023336,4031194.58777077
usa_NC_0049_0006,01-Jan-1857,144.943374987054,425296.641671667,4031144.75112847
usa_NC_0049_0005,01-Jan-1857,145.391643207805,425306.881078159,4031095.7969627
usa_NC_0049_0004,01-Jan-1857,145.131766186235,425316.424078172,4031046.71399167
usa_NC_0049_0003,01-Jan-1857,144.021489902862,425325.130778264,4030997.47632831
usa_NC_0049_0002,01-Jan-1857,142.813409042598,425333.739761791,4030948.22854825
usa_NC_0049_0001,01-Jan-1857,141.662505557271,425342.39887752,4030899.02168169
usa_NC_0048_0148,01-Jan-1857,141.1429575037,425351.678902933,4030849.92955249
usa_NC_0048_0147,01-Jan-1857,141.409743998261,425361.73232806,4030800.97994976
usa_NC_0048_0146,01-Jan-1857,141.759630079038,425371.867555615,4030752.04505993
usa_NC_0048_0145,01-Jan-1857,142.043617470028,425381.938037257,4030703.09788151
usa_NC_0048_0144,01-Jan-1857,142.343909234224,425392.024626098,4030654.15330289
usa_NC_0048_0143,01-Jan-1857,142.736927389983,425402.202497936,4030605.22512141
usa_NC_0048_0142,01-Jan-1857,143.16139033223,425412.411376549,4030556.30224288
