angle_rad,angle_deg,wave_pdf,wave_cdf
1.19555053761612,68.5,0.00106876118134451,0.988106082084551
1.21300383013606,69.5,0.00105379179695859,0.989159873881509
1.230457122656,70.5,0.00100255701245093,0.99016243089396
1.24791041517595,71.5,0.000945552357366128,0.991107983251326
1.26536370769589,72.5,0.000868826521151414,0.991976809772478
1.28281700021583,73.5,0.000833771692757876,0.992810581465236
1.30027029273578,74.5,0.000771111505839029,0.993581692971075
1.31772358525572,75.5,0.000734253268279916,0.994315946239355
1.33517687777566,76.5,0.000659549277524115,0.994975495516879
1.35263017029561,77.5,0.000601412264458194,0.995576907781337
1.37008346281555,78.5,0.000475261918540578,0.996052169699877
1.38753675533549,79.5,0.000493519993216196,0.996545689693094
1.40499004785544,80.5,0.000475524064563884,0.997021213757658
1.42244334037538,81.5,0.000434122506257909,0.997455336263915
1.43989663289532,82.5,0.000392151706037591,0.997847487969953
1.45734992541527,83.5,0.000371647803578634,0.998219135773532
1.47480321793521,84.5,0.000374612552838994,0.998593748326371
1.49225651045515,85.5,0.000312511636606463,0.998906259962977
1.5097098029751,86.5,0.000306117413030314,0.999212377376008
1.52716309549504,87.5,0.000269258242646081,0.999481635618654
1.54461638801498,88.5,0.000271025680015273,0.999752661298669
1.56206968053493,89.5,0.000247338701331261,1
