id,date_init,x_init,UTM_E_init,UTM_N_init,date_now,x_now,UTM_E_now,UTM_N_now,dx
usa_NC_0032_0038,01-Jan-1852,1564.53847200084,453079.478919786,3899353.68214687,08-Dec-2019,736.156445484587,452174.041558386,3899657.34015283,-828.382026516253
usa_NC_0032_0039,01-Jan-1852,1591.09936106429,453097.29019354,3899400.09628406,08-Dec-2019,752.096976213001,452180.616756161,3899705.78484976,-839.002384851289
usa_NC_0032_0040,01-Jan-1852,1608.38603254952,453104.992267072,3899449.77144495,08-Dec-2019,765.999029236285,452185.095023217,3899754.32039134,-842.387003313235
usa_NC_0032_0041,01-Jan-1860,1360.50615971844,452823.190348331,3899595.00613123,08-Dec-2019,778.747458078145,452188.10040677,3899804.33949247,-581.758701640295
usa_NC_0032_0042,01-Jan-1860,1389.53532838799,452843.711245465,3899640.45669236,08-Dec-2019,794.037547211825,452193.738977778,3899854.15201574,-595.497781176165
usa_NC_0032_0043,01-Jan-1852,1665.2208123687,453133.402600477,3899597.64092663,08-Dec-2019,818.525341134529,452209.418938133,3899900.6523979,-846.695471234171
usa_NC_0032_0044,01-Jul-1860,1449.39932591897,452886.719636273,3899730.73107134,08-Dec-2019,843.550421739485,452225.685631891,3899946.95848646,-605.848904179485
usa_NC_0032_0045,01-Jan-1852,1698.63915121212,453147.462788699,3899697.82257851,08-Dec-2019,866.212247984877,452239.374565655,3899994.10423364,-832.426903227243
usa_NC_0032_0046,01-Jan-1872,1416.76710445886,452828.836486454,3899853.86769611,08-Dec-2019,886.340508615667,452250.301358336,3900042.14320045,-530.426595843193
usa_NC_0032_0047,01-Jan-1852,1752.78967260362,453184.146106852,3899790.59235425,08-Dec-2019,903.084618624671,452257.539926156,3900091.36905863,-849.705053978949
usa_NC_0032_0048,01-Jan-1852,1777.32329396901,453199.716018903,3899837.87733083,08-Dec-2019,919.929128242231,452264.891475383,3900140.54188579,-857.394165726779
usa_NC_0032_0049,01-Jan-1852,1796.02677271947,453208.931011625,3899887.21168307,08-Dec-2019,938.794256149376,452274.449201991,3900188.98601508,-857.232516570094
usa_NC_0032_0050,01-Jan-1872,1530.27512906281,452908.115353486,3900036.39306944,08-Dec-2019,958.953367128783,452285.419950823,3900236.96244772,-571.321761934027
usa_NC_0032_0051,01-Jan-1852,1830.04300451356,453223.674634913,3899987.02440257,08-Dec-2019,978.116448623445,452295.307475826,3900285.27669163,-851.926555890115
usa_NC_0032_0052,01-Jan-1872,1588.43266803454,452950.135326741,3900122.905275,08-Dec-2019,997.063192649119,452306.746176998,3900324.72423346,-591.369475385421
usa_NC_0032_0053,01-Jan-1852,1874.72405886652,453251.01014112,3900078.24851234,08-Dec-2019,1013.70077269739,452315.918142922,3900363.73098974,-861.02328616913
usa_NC_0032_0054,01-Jan-1872,1624.7115491699,452969.557185002,3900210.85335567,08-Dec-2019,1028.9358191919,452323.826753745,3900401.90248587,-595.775729978
usa_NC_0032_0055,01-Jan-1872,1637.98607024917,452974.22208223,3900255.2524411,08-Dec-2019,1043.16790995567,452331.02261903,3900438.52243466,-594.8181602935
usa_NC_0032_0056,01-Jan-1852,1939.14318538926,453289.474968505,3900214.5068086,08-Dec-2019,1057.27366944404,452338.063651265,3900475.27251844,-881.86951594522
usa_NC_0032_0057,01-Jan-1872,1664.1119481612,452983.107618098,3900344.11431032,08-Dec-2019,1070.90088452184,452344.571991381,3900512.24623297,-593.21106363936
usa_NC_0032_0058,01-Jan-1852,1984.69236634087,453317.825686947,3900305.08073469,08-Dec-2019,1084.55418987517,452351.093387177,3900549.28775871,-900.1381764657
